Alter,Zivilstand,Bildungsniveau,Immobilien,Vermögen,Random,Vermögen,Barvermögen,Faktor Aktien,Aktienvermögen,Säule 3a,Lebensversicherung,Pensionskasse,lohn,Bonus Random,Bonus,Zulagen,Schätzung Objekt,
75,90,90,90,-437474.2275,0.526369156,437474.2275,230272.9398,0.047363084,20720.12877,130000,0,0,0,0.799650543,0,0,483528.4849,0.241764242
63,82,47,90,-414363.9671,0.625528092,414363.9671,259196.3017,0.037447191,15516.76654,100000,0,0,0,0.115534639,0,0,389220.5027,0.194610251
71,76,47,90,-404394.0862,0.212259349,404394.0862,85836.42562,0.078774065,31855.76606,130000,0,0,0,0.252698556,0,0,455190.8441,0.227595422
80,76,90,90,-400203.1346,0.428797276,400203.1346,171606.0139,0.057120272,22859.71208,130000,0,0,0,0.943131222,0,0,383496.7553,0.191748378
66,90,90,90,-382347.9346,0.033746157,382347.9346,12902.77327,0.096625384,36944.51614,100000,0,0,0,0.621242686,0,0,1947952.525,0.973976262
26,82,76,90,-372563.5906,0.205095134,372563.5906,76410.97967,0.079490487,29615.2611,0,0,0,0,0.792452334,0,0,1216081.833,0.608040916
56,90,47,90,-357125.8276,0.244838389,357125.8276,87438.11215,0.075516161,26968.77154,80000,0,0,0,0.592431154,0,0,29167.63212,0.014583816
75,76,90,90,-356735.6543,0.338965695,356735.6543,120921.1489,0.066103431,23581.45054,130000,0,0,0,0.209877076,0,0,918543.6096,0.459271805
45,76,90,90,-344580.2577,0.348173879,344580.2577,119973.8449,0.065182612,22460.64128,40000,0,0,0,0.488491762,0,0,1726224.641,0.86311232
74,76,90,76,-341445.2294,0.677998778,341445.2294,231499.4484,0.032200122,10994.5781,130000,0,0,0,0.668193673,0,0,1991775.147,0.995887573
32,47,76,76,-340383.8491,0.700047046,340383.8491,238284.7082,0.029995295,10209.9141,20000,0,0,0,0.570806755,0,0,786323.7291,0.393161865
79,82,76,90,-328162.9688,0.35442374,328162.9688,116308.7467,0.064557626,21185.42221,130000,0,0,0,0.001520614,0,0,1589186.966,0.794593483
39,90,90,90,-326918.78,0.270782391,326918.78,88523.84898,0.072921761,23839.49311,20000,0,0,0,0.685507483,0,0,1903723.768,0.951861884
57,76,90,90,-325939.2543,0.005344989,325939.2543,1742.141663,0.099465501,32419.71126,80000,0,0,0,0.323722569,0,0,360112.5805,0.18005629
65,47,76,90,-320897.0156,0.074272278,320897.0156,23833.75233,0.092572772,29706.32633,100000,0,0,0,0.558024039,0,0,813185.0074,0.406592504
27,76,90,90,-318340.426,0.0050452,318340.426,1606.091227,0.09949548,31673.43348,0,0,0,0,0.424682704,0,0,603849.8189,0.301924909
41,76,90,90,-316937.9852,0.170813587,316937.9852,54137.31425,0.082918641,26280.06709,40000,0,0,0,0.897537047,0,0,946680.3041,0.473340152
42,47,47,76,-315246.325,0.519139421,315246.325,163656.7948,0.048086058,15158.95303,40000,0,0,0,0.078645197,0,0,642858.9212,0.321429461
69,82,47,90,-314828.867,0.339378608,314828.867,106846.1828,0.066062139,20798.26842,100000,0,0,0,0.284495904,0,0,455998.2524,0.227999126
52,82,47,90,-307999.4713,0.302431102,307999.4713,93148.61949,0.06975689,21485.08518,80000,0,0,0,0.064349483,0,0,762178.0309,0.381089015
35,82,90,90,-307153.6412,0.249124234,307153.6412,76519.4155,0.075087577,23063.42257,20000,0,0,0,0.098049186,0,0,191933.6502,0.095966825
90,76,90,76,-305310.5502,0.468867155,305310.5502,143150.0891,0.053113284,16216.0461,130000,0,0,0,0.619865951,0,0,580012.0629,0.290006031
47,90,90,90,-303599.7906,0.817963504,303599.7906,248333.5485,0.01820365,5526.624213,40000,0,0,0,0.17171407,0,0,1128769.442,0.564384721
82,47,76,90,-303422.4392,0.443387223,303422.4392,134533.6326,0.055661278,16888.88065,130000,0,0,0,0.742947405,0,0,122319.4032,0.061159702
76,90,90,76,-302803.0733,0.337863882,302803.0733,102306.2218,0.066213612,20049.68515,130000,0,0,0,0.107852003,0,0,1175760.048,0.587880024
34,47,90,90,-302803.0733,0.638560665,302803.0733,193358.1319,0.036143933,10944.49414,20000,0,0,0,0.532867971,0,0,304236.8647,0.152118432
87,90,90,90,-302803.0733,0.643354205,302803.0733,194809.6304,0.03566458,10799.34428,130000,0,0,0,0.752106502,0,0,759035.3163,0.379517658
60,47,47,90,-301668.0239,0.673223592,301668.0239,203090.0305,0.032677641,9857.799341,100000,0,0,0,0.028522888,0,0,1635903.943,0.817951971
76,47,76,90,-297699.4438,0.239056769,297699.4438,71167.06704,0.076094323,22653.23767,130000,0,0,0,0.436268729,0,0,836209.4789,0.418104739
61,90,90,90,-296152.3933,0.689527316,296152.3933,204205.1648,0.031047268,9194.722849,100000,0,0,0,0.756434069,0,0,1004146.984,0.502073492
55,76,90,90,-295912.2867,0.988055864,295912.2867,292377.8701,0.001194414,353.4416546,80000,0,0,0,0.044900062,0,0,1787984.709,0.893992355
73,82,90,90,-290711.796,0.953144934,290711.796,277090.4755,0.004685507,1362.132045,130000,0,0,0,0.054510963,0,0,1171986.343,0.585993171
25,47,47,90,-289151.1031,0.006057782,289151.1031,1751.614348,0.099394222,28739.94887,0,0,0,0,0.07044015,0,0,1254064.24,0.62703212
55,82,47,90,-288127.9215,0.977870637,288127.9215,281751.8341,0.002212936,637.6087436,80000,0,0,0,0.982805018,0,0,1137814.39,0.568907195
35,82,47,76,-283545.4325,0.5971331,283545.4325,169314.3632,0.04028669,11423.10693,20000,0,0,0,0.773876917,0,0,902386.7777,0.451193389
26,47,90,90,-280653.2393,0.989457205,280653.2393,277694.3697,0.00105428,295.8869589,0,0,0,0,0.767994976,0,0,1612665.197,0.806332598
